step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
410,0.00055,1.0,,,,
411,0.00022,1.0,,,,
412,0.03855,1.0,,,,
413,0.02186,1.0,,,,
414,0.4421,0.96296,,,,
415,0.07034,0.92308,,,,
416,0.00021,1.0,,,,
417,0.05161,0.95238,,,,
418,1e-05,1.0,,,,
419,0.00088,1.0,,,,
420,0.00344,1.0,,,,
421,0.43055,0.83562,,,,
422,0.00128,1.0,,,,
423,0.00637,1.0,,,,
424,0.0,1.0,,,,
425,0.01166,1.0,,,,
426,0.00376,1.0,,,,
427,0.0028,1.0,,,,
428,0.00154,1.0,,,,
429,0.0011,1.0,,,,
430,0.14042,0.93333,,,,
431,0.17997,0.94444,,,,
432,0.04243,1.0,,,,
433,2.29226,0.83333,,,,
434,0.00421,1.0,,,,
435,0.00308,1.0,,,,
436,0.01095,1.0,,,,
437,0.00038,1.0,,,,
438,2e-05,1.0,,,,
439,0.00444,1.0,,,,
440,0.09034,0.95833,,,,
441,0.21806,0.95833,,,,
442,1e-05,1.0,,,,
443,0.33911,0.80952,,,,
444,0.00092,1.0,,,,
445,0.01097,1.0,,,,
446,0.01887,1.0,,,,
447,0.02015,1.0,,,,
448,0.00238,1.0,,,,
449,0.21087,0.8,,,,
450,0.10761,0.94444,,,,
451,0.0075,1.0,,,,
452,0.0046,1.0,,,,
453,0.08596,0.95,,,,
454,0.00087,1.0,,,,
455,0.00193,1.0,,,,
456,0.04194,1.0,,,,
457,0.00042,1.0,,,,
458,0.04521,0.95238,,,,
459,0.00257,1.0,,,,
460,0.07951,1.0,,,,
461,0.11739,0.96154,,,,
462,0.13038,0.96296,,,,
463,0.00742,1.0,,,,
464,0.00219,1.0,,,,
465,0.00126,1.0,,,,
466,0.51594,0.81818,,,,
467,3e-05,1.0,,,,
468,0.00033,1.0,,,,
469,0.00067,1.0,,,,
470,0.02901,1.0,,,,
471,0.08212,1.0,,,,
472,0.00061,1.0,,,,
473,0.01138,1.0,,,,
474,0.19038,1.0,,,,
475,0.00465,1.0,,,,
476,0.14497,1.0,,,,
477,2e-05,1.0,,,,
478,0.00076,1.0,,,,
479,0.18375,0.88235,,,,
480,1.75031,0.75,,,,
481,0.00663,1.0,,,,
482,9e-05,1.0,,,,
483,0.00338,1.0,,,,
484,0.18133,0.85714,,,,
485,0.00075,1.0,,,,
486,0.00013,1.0,,,,
487,0.00146,1.0,,,,
488,0.00012,1.0,,,,
489,0.90556,0.66667,,,,
490,0.00154,1.0,,,,
491,0.22438,0.95455,,,,
492,6e-05,1.0,,,,
493,4e-05,1.0,,,,
494,0.01851,1.0,,,,
495,0.00047,1.0,,,,
496,0.17279,0.92308,,,,
497,0.01609,1.0,,,,
498,0.00296,1.0,,,,
499,0.02942,1.0,,,,
500,0.1716,0.85714,,,,
501,0.34919,0.81818,,,,
502,0.01899,1.0,,,,
503,0.00031,1.0,,,,
504,0.04011,1.0,,,,
505,0.01704,1.0,,,,
506,0.00108,1.0,,,,
507,0.00028,1.0,,,,
508,0.00023,1.0,,,,
509,0.00248,1.0,,,,
510,0.00093,1.0,,,,
511,4e-05,1.0,,,,
512,0.00077,1.0,,,,
513,0.03378,1.0,,,,
514,0.0001,1.0,,,,
515,0.04553,1.0,,,,
516,0.00446,1.0,,,,
517,6e-05,1.0,,,,
518,0.00225,1.0,,,,
519,1e-05,1.0,,,,
520,6e-05,1.0,,,,
521,2.75001,0.8,,,,
522,0.00117,1.0,,,,
523,0.03154,1.0,,,,
524,0.00237,1.0,,,,
525,0.06121,1.0,,,,
526,0.00013,1.0,,,,
527,9e-05,1.0,,,,
528,0.00125,1.0,,,,
529,0.00238,1.0,,,,
530,0.01254,1.0,,,,
531,0.02528,1.0,,,,
532,0.0032,1.0,,,,
533,0.00038,1.0,,,,
534,0.00447,1.0,,,,
535,0.0405,0.95455,,,,
536,2e-05,1.0,,,,
537,6e-05,1.0,,,,
538,0.06097,1.0,,,,
539,0.00021,1.0,,,,
540,0.00014,1.0,,,,
541,0.01426,1.0,,,,
